0,0
0.1,0.475518
0.2,0.913534
0.3,1.29341
0.4,1.60679
0.5,1.85369
0.6,2.03933
0.7,2.17183
0.8,2.26052
0.9,2.31474
1,2.3432
1.1,2.35346
1.2,2.35173
1.3,2.34293
1.4,2.33063
1.5,2.3174
1.6,2.30489
1.7,2.29413
1.8,2.28559
1.9,2.27934
2,2.2752
2.1,2.2729
2.2,2.2721
2.3,2.2725
2.4,2.27383
2.5,2.27585
2.6,2.27831
2.7,2.28098
2.8,2.28377
2.9,2.2866
3,2.28944
3.1,2.29228
3.2,2.29503
3.3,2.29758
3.4,2.29988
3.5,2.30193
3.6,2.30379
3.7,2.30555
3.8,2.30728
3.9,2.30902
4,2.31075
4.1,2.31248
4.2,2.31416
4.3,2.31578
4.4,2.31721
4.5,2.31832
4.6,2.31896
4.7,2.31902
4.8,2.31843
4.9,2.31714
5,2.31519
5.1,2.31272
5.2,2.31005
5.3,2.3077
5.4,2.30644
5.5,2.30726
5.6,2.31148
5.7,2.3207
5.8,2.3368
5.9,2.36196
6,2.39846
6.1,2.44853
6.2,2.51394
6.3,2.59559
6.4,2.69278
6.5,2.80262
6.6,2.91881
6.7,3.03016
6.8,3.13001
6.9,3.21507
7,3.2844
7.1,3.33871
7.2,3.37957
7.3,3.40896
7.4,3.42897
7.5,3.44159
7.6,3.44866
7.7,3.45177
7.8,3.45228
7.9,3.45124
8,3.44943
8.1,3.44747
8.2,3.44583
8.3,3.44479
8.4,3.4445
8.5,3.44503
8.6,3.44639
8.7,3.44853
8.8,3.45135
8.9,3.45472
9,3.45844
9.1,3.46233
9.2,3.46629
9.3,3.47027
9.4,3.47431
9.5,3.47843
9.6,3.48263
9.7,3.487
9.8,3.49156
9.9,3.49631
10,3.50117
10.1,3.50603
10.2,3.51071
10.3,3.51504
10.4,3.51894
10.5,3.52244
10.6,3.52559
10.7,3.5285
10.8,3.53132
10.9,3.53418
11,3.53711
11.1,3.54005
11.2,3.54298
11.3,3.54583
11.4,3.54849
11.5,3.55096
11.6,3.55332
11.7,3.55573
11.8,3.55832
11.9,3.56129
12,3.56473
12.1,3.56865
12.2,3.5731
12.3,3.57814
12.4,3.58383
12.5,3.59023
12.6,3.59756
12.7,3.60609
12.8,3.61606
12.9,3.62762
13,3.64085
13.1,3.6557
13.2,3.67197
13.3,3.68923
13.4,3.70674
13.5,3.72345
13.6,3.73764
13.7,3.74672
13.8,3.74678
13.9,3.73253
14,3.69713
14.1,3.63253
14.2,3.53002
14.3,3.38093
14.4,3.17755
14.5,2.91458
14.6,2.59119
14.7,2.21363
14.8,1.79852
14.9,1.37672
15,0.997908
15.1,0.735532
15.2,0.567914
15.3,0.473949
15.4,0.434695
15.5,0.433783
15.6,0.457739
15.7,0.496179
15.8,0.541242
15.9,0.58726
16,0.630583
16.1,0.669107
16.2,0.701864
16.3,0.728845
16.4,0.750439
16.5,0.767573
16.6,0.781153
16.7,0.791891
16.8,0.800281
16.9,0.806716
17,0.811746
17.1,0.816096
17.2,0.820314
17.3,0.824855
17.4,0.829738
17.5,0.83446
17.6,0.838615
17.7,0.841834
17.8,0.844517
17.9,0.847151
18,0.850464
18.1,0.854707
18.2,0.860023
18.3,0.866491
18.4,0.874388
18.5,0.884146
18.6,0.895845
18.7,0.90852
18.8,0.919704
18.9,0.925702
19,0.922752
19.1,0.907987
19.2,0.878722
19.3,0.831154
19.4,0.760857
19.5,0.663593
19.6,0.536663
19.7,0.38009
19.8,0.197934
19.9,0.197934
